RNEC Number,EudraCT Number,Protocol Number,Type of Study,Sponsor's Name,Title of the trial,Recruitment Status,Date of Global End,Infarmed Authorization Date,CEC Opinion Date,Non-technical title,Paediatric Investigation Plan,Medical condition(s),Therapeutic Confirmatory (Phase II),Therapeutic Confirmatory (Phase III),Therapeutic Confirmatory (Phase IV),Age_Range,Gender
14722,2020-004891-16,CL3-05179-002,Interventional studies with investigational medicinal products,"SERVIER PORTUGAL - ESPECIALIDADES FARMACÊUTICAS, LDA.","Evaluation of the clinical efficacy and safety of perindopril 10 mg/indapamide 2.5 mg/amlodipine 5 or 10 mg/bisoprolol 5 mg in single-pill combination after 8 weeks of treatment versus the free combination of perindopril 10 mg, indapamide 2.5 mg and amlodipine 5 or 10 mg in patients with uncontrolled essential hypertension. An international, multicentre, randomised, double-blind, 16-week study.",Active,,04/02/2022,23/03/2022,"A comparison of a single-pill combination of perindopril/indapamide/amlodipine/bisoprolol with perindopril,
indapamide and amlodipine in patients with essential hypertension whose blood pressure remains high on perindopril, indapamide and amlodipine treatment.",No,Hypertension,,Yes,,"Adult , Elderly","Female , Male"
14742,2020-004184-12,DTX401-CL301,Interventional studies with investigational medicinal products,Ultragenyx Pharmaceutical Inc.,"A Phase 3, Randomized, Double-blind, Placebo-controlled Study of Adeno-associated Virus Serotype 8-mediated Gene Transfer of Glucose-6-phosphatase in Patients With Glycogen Storage Disease Type Ia.

EMA Decision number on PIP: EMA/PDCO/154270/2021
",Active,,17/03/2022,08/02/2022,An Phase 3 clinical study comparing a vector transferring the gene for Glucose-6-Phosphatase with placebo in adults with Glycogen Storage Disease Type Ia.,Yes,Glycogen Storage Disease Type Ia (GSDIa).,,Yes,,"Under 18 , Adult , Elderly","Female , Male"
14762,2021-000296-36,ZWI-ZW25-301,Interventional studies with investigational medicinal products,Zymeworks Inc.,"A Randomized, Multicenter, Phase 3 Study of Zanidatamab in Combination with Chemotherapy with or without Tislelizumab in Subjects with HER2-positive Unresectable Locally Advanced or Metastatic Gastroesophageal Adenocarcinoma (GEA)",Active,,31/08/2021,17/12/2021,A Study of Zanidatamab in Combination With Chemotherapy Plus or Minus Tislelizumab in Patients With HER2-positive Advanced or Metastatic Gastric and Esophageal Cancers,No,Gastroesophageal Adenocarcinoma (GEA),,Yes,,"Adult , Elderly","Female , Male"
14802,2020-005770-99,1368-0059,Interventional studies with investigational medicinal products,"Boehringer Ingelheim, Portugal Lda.                                    ","Multi-center, double-blind, randomized, placebo-controlled, phase IIa trial to evaluate spesolimab (BI 655130) efficacy in patients with fibrostenotic Crohn¿s Disease",Not Commenced,,17/12/2021,05/11/2021,A study to test whether spesolimab helps people with Crohn¿s disease who have symptoms of bowel obstruction,No,Fibrostenotic Crohn¿s Disease,Yes,,,"Adult , Elderly","Female , Male"
14842,2021-000199-12,A011-13,Interventional studies with investigational medicinal products,Acceleron Pharma Inc.,"A Phase 3, Randomized, Double-blind, Placebo-controlled Study to Evaluate Sotatercept When Added to Background Pulmonary Arterial Hypertension
(PAH) Therapy in Newly Diagnosed Intermediate- and High-risk PAH Patients.",Not Commenced,,24/01/2022,18/02/2022,A Phase 3 Study of Sotatercept in Newly Diagnosed Intermediate- and High-risk Pulmonary arterial hypertension (PAH) Patients.,No,Pulmonary Arterial Hypertension (PAH),,Yes,,Adult,"Female , Male"
14862,2021-000050-26,AV-951-20-304,Interventional studies with investigational medicinal products,"AVEO Pharmaceuticals, Inc.","TiNivo-2: A Phase 3, Randomized, Controlled, Multicenter, Open-label Study to Compare Tivozanib in Combination with Nivolumab to Tivozanib Monotherapy in Subjects with Renal Cell Carcinoma Who Have Progressed Following One or Two Lines of Therapy Where One Line has an Immune Checkpoint Inhibitor
",Not Commenced,,09/02/2022,18/03/2022,Study to Compare Tivozanib in Combination with Nivolumab to Tivozanib Monotherapy in Subjects with Renal Cell Carcinoma ,No,Renal Cell Carcinoma ,,Yes,,"Adult , Elderly","Female , Male"
14882,2020-001521-31,D5982C00008,Interventional studies with investigational medicinal products,AstraZeneca AB,"A Randomized, Double-Blind, Double Dummy, Parallel Group, Multicenter 24 to 52 Week Variable Length Study to Assess the Efficacy and Safety of Budesonide, Glycopyrronium, and Formoterol Fumarate Metered Dose Inhaler (MDI) Relative to Budesonide and Formoterol Fumarate MDI and Symbicort® Pressurized MDI in Adult and Adolescent Participants with Inadequately Controlled Asthma",Not Commenced,,09/02/2022,03/05/2022,A Variable Length Study to Evaluate the Efficacy and Safety of Budesonide/Glycopyrronium/Formoterol inhaler in Adults and Adolescents with Severe Asthma Inadequately Controlled with Standard of Care.,Yes,Severe and inadequately controlled asthma,,Yes,,"Under 18 , Adult , Elderly","Female , Male"
14942,2020-005764-62,HZNP-HZN-825-301,Interventional studies with investigational medicinal products,Horizon Therapeutics Ireland DAC,"A Randomized, Double-blind, Placebo-controlled, Repeat-dose, Multicenter Trial to Evaluate the Efficacy, Safety, Tolerability and Pharmacokinetics of HZN-825 in Patients with Diffuse Cutaneous Systemic Sclerosis",Not Commenced,,20/08/2021,24/08/2021,"A Study to Evaluate the Efficacy, Safety, Tolerability and Pharmacokinetics of HZN-825 in Patients with Diffuse Cutaneous Systemic Sclerosis",No,Diffuse Cutaneous Systemic Sclerosis,Yes,,,"Adult , Elderly","Female , Male"
15022,2018-001671-21,KRT-232-101,Interventional studies with investigational medicinal products,"Kartos Therapeutics, Inc.","A Phase 2/3 Randomized, Controlled, Open-Label Study of KRT-232  in Subjects With Primary Myelofibrosis (PMF), Post-Polycythemia Vera MF (Post-PV-MF), Or Post-Essential Thrombocythemia MF (Post-ET-MF) who are Relapsed or Refractory to Janus Kinase (JAK) Inhibitor Treatment ",Active,,18/02/2022,04/02/2022,"This global, multicenter, Phase 2 (Part A)/3 (Part B) randomized, controlled, open-label study will evaluate the safety and efficacy of KRT-232 versus BAT for the treatment PMF, post PV MF, or post ET MF in subjects who are relapsed or refractory to JAK inhibitor treatment",No,Primary Or Secondary (Post-PV MF or Post-ET-MF) Myelofibrosis (MF) With Intermediate Or High-Risk TP53 Wild-Type (TP53 WT) Who Are Relapsed Or Refractory to Janus Kinase (JAK) - Inhibitor Treatment.,Yes,Yes,,"Adult , Elderly","Female , Male"
15042,2021-002006-27,CKJX839B12302,Interventional studies with investigational medicinal products,Novartis Pharma AG,"A randomized, double-blind, placebo -controlled, multicenter trial, assessing the impact of inclisiran on major adverse cardiovascular events in participants with established cardiovascular disease (VICTORION-2 PREVENT)",Active,,22/12/2021,26/11/2021,"A research study  to find out whether a medicine called inclisiran helps to prevent cardiovascular death, heart attacks or strokes in people who already have vascular disease.",No,Atherosclerotic cardiovascular disease (ASCVD),,Yes,,"Adult , Elderly","Female , Male"
15082,2019-003777-26,D0817C00098,Interventional studies with investigational medicinal products,AstraZeneca AB,Roll Over StudY for Patients Who Have Completed a Previous Oncology Study with Olaparib and Are Judged by the Investigator to Clinically Benefit From Continued Treatment,Not Commenced,,08/09/2021,03/01/2022,Roll Over Study for Patients Who Have Completed a Previous Oncology Study with Olaparib,No,"BRCA Mutated Ovarian Cancer Patients, Epithelian ovarian cancer, Metastatic Breast Cancer, Platinum Sensitive Relapsed Ovarian Cancer, Patients with gBRCA mutated metastatic pancreatic cancer, prostate cancer, endometrial cancer
",,Yes,,"Adult , Elderly",Female
15142,2020-004855-34,21652,Interventional studies with investigational medicinal products,Bayer Consumer Care AG,"A double-blind, randomized, placebo-controlled multicenter study to investigate efficacy and safety of elinzanetant for the treatment of vasomotor symptoms over 26 weeks in postmenopausal women",Active,,27/01/2022,17/12/2021,A study to learn more about how well elinzanetant works and how safe it is for the treatment of vasomotor symptoms (hot flashes) that are caused by hormonal changes over 26 weeks in women who have been through the menopause,No,Vasomotor symptoms associated with menopause,,Yes,,"Adult , Elderly",Female
15162,2021-002549-13,CSUC-01/21,Interventional studies with investigational medicinal products,InDex Pharmaceuticals AB,"A Randomised Double-Blind Placebo-Controlled Phase III Clinical 
Study to Evaluate the Efficacy and Safety of Cobitolimod as an 
Induction and Maintenance Therapy in Participants with Moderate 
to Severe Active Left-Sided Ulcerative Colitis
",,,02/08/2022,23/02/2022,A Phase III Study to Evaluate the Efficacy and Safety of Cobitolimod as an Induction and Maintenance Therapy in Participants with Moderate to Severe Active Left-Sided Ulcerative Colitis,No,Moderate to Severe left-sided Active Ulcerative Colitis,,Yes,,"Adult , Elderly","Female , Male"
15182,2020-004986-38,337HNAS20011,Interventional studies with investigational medicinal products,INVENTIVA SA,"A randomised, double-blind, placebo-controlled, multicentre, Phase 3 study evaluating long-term efficacy and safety of lanifibranor in adult patients with non-cirrhotic non-alcoholic steatohepatitis (NASH) and fibrosis 2 (F2)/fibrosis 3 (F3) stage of liver fibrosis 
",Not Commenced,,24/11/2021,18/03/2022,"A clinical study to assess the long-term efficacy and safety of lanifibranor in adult patients with non-cirrhotic non-alcoholic steatohepatitis (NASH) and fibrosis 2 (F2)/fibrosis 3 (F3) stage of liver fibrosis 
",No,Non-alcoholic Steatohepatitis (NASH),,Yes,,"Adult , Elderly","Female , Male"
15202,2021-001825-33,61186372NSC3002,Interventional studies with investigational medicinal products,Janssen-Cilag International N.V.,"A Phase 3, Open-Label, Randomized Study of Amivantamab and Lazertinib in Combination with Platinum-Based Chemotherapy Compared with Platinum-Based Chemotherapy in Patients with EGFR-Mutated Locally Advanced or Metastatic Non-Small Cell Lung Cancer After Osimertinib Failure",Not Commenced,,12/04/2022,03/03/2022,A Clinical Study of Amivantamab and Lazertinib in Combination with Platinum-Based Chemotherapy Compared with Platinum-Based Chemotherapy in Patients with EGFR-Mutated Locally Advanced or Metastatic Non-Small Cell Lung Cancer After Osimertinib Failure,No,Locally Advanced or Metastatic Non-Small Cell Lung Cancer ,,Yes,,"Adult , Elderly","Female , Male"
15222,2020-005708-20,GS-US-548-5916,Interventional studies with investigational medicinal products,"Gilead Sciences, Inc.",A Phase 2 Study of Magrolimab Combination Therapy in Patients With Head and Neck Squamous Cell Carcinoma,Active,,22/02/2022,18/03/2022,A study evaluating safety and efficacy of magrolimab in combination with chemotherapy for the treatment of Head and Neck Squamous Cell Carcinoma.,No,Head and Neck Squamous Cell Carcinoma,Yes,,,"Adult , Elderly","Female , Male"
15282,2021-002566-40,20200491,Interventional studies with investigational medicinal products,Amgen Inc.,"A Phase 2 Study Evaluating the Efficacy, Safety, Tolerability, and Pharmacokinetics of Tarlatamab in Subjects with Relapsed/Refractory Small Cell Lung Cancer After Two or More Prior Lines of Treatment",Active,,10/11/2021,14/01/2022,A Phase 2 Study of Tarlatamab in Patients with Small Cell Lung Cancer (SCLC),No,Relapsed/Refractory Small Cell Lung Cancer,Yes,,,"Adult , Elderly","Female , Male"
15302,2021-000352-19,MOG001,Interventional studies with investigational medicinal products,UCB Biopharma SRL,"A Randomized, Double-Blind, Placebo-Controlled, Multicenter, Phase 3, Pivotal Study With an Open-Label Extension Period to Evaluate the Efficacy and Safety of Rozanolixizumab in Adult Participants With Myelin
Oligodendrocyte Glycoprotein (MOG) Antibody-Associated Disease (MOG-AD)",,,14/09/2022,21/02/2022,A study to evaluate the efficacy and safety of rozanolixizumab in adult participants with myelin oligodendrocyte glycoprotein (MOG) antibody-associated disease (MOG-AD),No,Myelin oligodendrocyte glycoprotein antibody-associated disease (MOG-AD),,Yes,,"Adult , Elderly","Female , Male"
15322,2021-003791-13,BP42992,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A PHASE II, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL GROUP STUDY TO EVALUATE THE SAFETY, EFFICACY, AND PHARMACODYNAMICS OF 52 WEEKS OF TREATMENT WITH BASMISANIL IN CHILDREN WITH DUP15Q SYNDROME.",Not Commenced,,15/02/2022,25/02/2022,"A Study to Evaluate the Safety, Efficacy, and Pharmacodynamics of 52 weeks of Treatment with Basmisanil in Children with Dup15q Syndrome.",No,Dup15q Syndrome,Yes,,,Under 18,"Female , Male"
15342,2021-000712-31,VX20-121-102,Interventional studies with investigational medicinal products,Vertex Pharmaceuticals Incorporated,"A Phase 3, Randomized, Double-blind, Controlled Study Evaluating the Efficacy and Safety of VX-121 Combination Therapy in Subjects With Cystic Fibrosis Who Are Heterozygous for F508del and a Minimal Function Mutation (F/MF)
",Not Commenced,,03/01/2022,07/03/2022,"A Phase 3 Study of VX-121 Combination Therapy in Subjects With Cystic Fibrosis Heterozygous for F508del and a Minimal Function Mutation (F/MF)
",No,Cystic Fibrosis,,Yes,,"Under 18 , Adult","Female , Male"
15402,2021-002461-18,20-214-36,Interventional studies with investigational medicinal products,Nektar Therapeutics,"A Phase 2/3, Randomized, Open-label Study to Compare Bempegaldesleukin Combined with Pembrolizumab Versus Pembrolizumab Alone in First-Line Treatment of Patients with Metastatic or Recurrent Head and Neck Squamous-Cell Carcinoma with PD-L1 Expressing Tumors (PROPEL-36)",Not Commenced,,15/02/2022,21/02/2022,Bempegaldesleukin with pembrolizumab in patients with PD-L1 (programmed cell death-ligand 1) positive Metastatic or Recurrent Head and Neck Squamous-Cell Carcinoma (HNSCC).,No,Metastatic or Recurrent Head and Neck Squamous-Cell Carcinoma with PD-L1 Expressing Tumors,Yes,Yes,,"Adult , Elderly","Female , Male"
15422,2021-000474-29,PTC923-MD-003-PKU,Interventional studies with investigational medicinal products,"PTC Therapeutics, Inc.",A Phase 3 Study of PTC923 in Subjects with Phenylketonuria,Not Commenced,,02/02/2022,04/02/2022,A Phase 3 Study of PTC923 in Subjects with Phenylketonuria,No,Metabolic Disorders - Phenylketonuria,,Yes,,"Under 18 , Adult , Elderly","Female , Male"
15462,2021-001966-39,CBYL719C2303,Interventional studies with investigational medicinal products,Novartis Pharma AG,"EPIK-B5: A Phase III, randomized, double-blind, placebo-controlled study of alpelisib (BYL719) in combination with fulvestrant for men and postmenopausal women with HR-positive, HER2-negative advanced breast cancer with a PIK3CA mutation, who progressed on or after aromatase inhibitor and a CDK4/6 inhibitor",Active,,21/10/2021,15/10/2021,"A clinical study to assess the efficacy of alpelisib plus fulvestrant in participants with HR-positive, HER2-negative, advanced breast cancer after treatment with a CDK4/6 inhibitor and an aromatase inhibitor",No,"Hormone receptor positive, HER2-negative advanced breast cancer",,Yes,,"Adult , Elderly","Female , Male"
15502,2021-001234-20,LOXO-BTK-20023,Interventional studies with investigational medicinal products,"Loxo Oncology, Inc.","A Phase 3 Open-Label, Randomized Study of Pirtobrutinib (LOXO-305) versus Bendamustine plus Rituximab in Untreated Patients with Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (BRUIN-CLL-313)",Not Commenced,,20/01/2022,01/04/2022,A Phase 3 Study Comparing Pirtobrutinib (LOXO-305) to Bendamustine plus Rituximab in Untreated Patients with CLL/SLL,No,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,,Yes,,"Adult , Elderly","Female , Male"
15522,2020-004335-24,CC-93538-EE-002,Interventional studies with investigational medicinal products,Celgene International II Sàrl,"A  PHASE 3, MULTICENTER, MULTINATIONAL, OPEN-LABEL EXTENSION STUDY TO EVALUATE THE LONG-TERM SAFETY OF CC-93538 IN ADULT AND ADOLESCENT SUBJECTS WITH EOSINOPHILIC ESOPHAGITIS
",Active,,24/02/2022,17/01/2022,A study to evaluate the long-term safety of CC-93538 in adult and adolescent patients who have eosinophilic esophagitis,No,EOSINOPHILIC ESOPHAGITIS,,Yes,,"Under 18 , Adult , Elderly","Female , Male"
15582,2021-001928-17,GCT1046-04,Interventional studies with investigational medicinal products,Genmab A/S,"A Phase 2, Multicenter, Randomized, Open-Label Trial of GEN1046 as Monotherapy and in Combination With Pembrolizumab in Subjects With Relapsed/Refractory Metastatic Non-Small Cell Lung Cancer After Treatment With Standard of Care Therapy With an Immune Checkpoint Inhibitor",,,17/10/2022,15/07/2022,"A Safety and Efficacy Trial of GEN1046 as Monotherapy and in Combination With Pembrolizumab in Subjects With Recurrent Non-Small Cell Lung 
 cancer",No,Malignant Solid Tumors - Non Small Cell Lung Cancer,Yes,,,"Adult , Elderly","Female , Male"
15622,2020-005061-13,A011-12,Interventional studies with investigational medicinal products,Acceleron Pharma Inc.,An Open-Label Long-term Follow-up Study to Evaluate the Effects of Sotatercept When Added to Background Pulmonary Arterial Hypertension (PAH) Therapy for the Treatment of PAH,Active,,09/03/2022,18/03/2022,A Long-term Follow-up Study of Sotatercept for PAH Treatment,No,Pulmonary Arterial Hypertension (PAH),,Yes,,"Adult , Elderly","Female , Male"
15702,2021-001427-40,ION-682884-CS13,Interventional studies with investigational medicinal products,"IONIS Pharmaceuticals, Inc","An Open-Label, Extension Study to Assess the Long-Term Safety and Efficacy of ION-682884 in Patients with Hereditary Transthyretin-Mediated Amyloid Polyneuropathy",Not Commenced,,07/06/2022,18/02/2022,Study to Assess the Long-Term Safety and Efficacy of ION-682884 in Patients with Hereditary Transthyretin-Mediated Amyloid Polyneuropathy,No,Hereditary Transthyretin-Mediated Amyloid Polyneuropathy,,Yes,,"Adult , Elderly","Female , Male"
15722,2021-003578-30,GS-US-577-6153,Interventional studies with investigational medicinal products,"Gilead Sciences, Inc.","Open-Label, Global, Multicenter, Randomized, Phase 3 Study of Sacituzumab Govitecan Versus Docetaxel in Patients With Advanced or Metastatic Non-Small Cell Lung Cancer (NSCLC) With Progression on or After Platinum-Based Chemotherapy and Anti-PD-1/PD-L1 Immunotherapy",Not Commenced,,30/06/2022,18/03/2022,A study of Sacituzumab Govitecan Versus Docetaxel in Patients With Advanced or Metastatic Non-Small Cell Lung Cancer (NSCLC),No,Non-Small Cell Lung Cancer,,Yes,,"Adult , Elderly","Female , Male"
15742,2020-005929-89,CLOU064C12302,Interventional studies with investigational medicinal products,Novartis Pharma AG,"A randomized, double-blind, double-dummy, parallel-group study, comparing the efficacy and safety of remibrutinib versus teriflunomide in participants with relapsing multiple sclerosis, followed by extended treatment with open-label remibrutinib",Not Commenced,,01/08/2022,12/04/2022,"Efficacy and safety of remibrutinib compared to teriflunomide in participants with relapsing multiple sclerosis, followed by long term treatment with remibrutinib",No,Multiple Sclerosis,,Yes,,Adult,"Female , Male"
15762,2020-003384-25,DTX301-CL301,Interventional studies with investigational medicinal products,Ultragenyx Pharmaceutical Inc.,"A Phase 3 Randomized, Double-Blind, Placebo-Controlled Study of Adeno-Associated Virus Serotype 8 (AAV8)-Mediated Gene Transfer of Human Ornithine Transcarbamylase (OTC) in Patients with Late-Onset OTC Deficiency",,,10/03/2023,03/05/2022,A clinical study of a virus transferring the gene for human Ornithine Transcarbamylase (OTC) in patients older than 12 years old with late-onset OTC deficiency,No,Late-onset Ornithine transcarbamylase (OTC) deficiency,,Yes,,"Under 18 , Adult","Female , Male"
15782,2019-004493-26,D9670C00001,Interventional studies with investigational medicinal products,AstraZeneca AB,"A Phase 3, Randomized, Multi-center, Open-label Study of Trastuzumab Deruxtecan (T-DXd) versus Investigator¿s Choice Chemotherapy in HER2-Low, Hormone Receptor Positive Breast Cancer Patients whose Disease has Progressed on Endocrine Therapy in the Metastatic Setting (DESTINY-Breast06)",Not Commenced,,27/07/2022,03/06/2022,"Study of Trastuzumab Deruxtecan (DS-8201a, T-DXd) versus Investigator¿s Choice Chemotherapy in HER2-Low, Hormone Receptor Positive Breast Cancer Patients whose Disease has Progressed on Endocrine Therapy in the Metastatic Setting",No,"HER2-Low, Hormone Receptor Positive Breast Cancer which has Progressed on Endocrine Therapy in the Metastatic Setting.",,Yes,,"Adult , Elderly","Female , Male"
15802,2021-003226-71,MR42410,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A PHASE IIIB, MULTICENTER, RANDOMIZED,
VISUAL ASSESSOR-MASKED STUDY OF THE
EFFECTIVENESS AND SAFETY OF A 36-WEEK
REFILL REGIMEN FOR THE PORT DELIVERY
SYSTEM WITH RANIBIZUMAB VS AFLIBERCEPT
TREAT & EXTEND IN SUBJECTS WITH
NEOVASCULAR AGE-RELATED MACULAR
DEGENERATION (DIAGRID)",Active,,17/05/2022,18/02/2022,A Study to Evaluate Effectiveness and Safety of A 36-Week Ranibizumab Refill Regimen for the Port Delivery System versus Aflibercept Intravitreal Injection Treat & Extend in Subjects with Neovascular Age-Related Macular Degeneration (DIAGRID),No,Age-related macular degeneration (AMD) is the leading cause of severe vision loss in individuals over the age of 50 years.,,Yes,,"Adult , Elderly","Female , Male"
15822,2021-003461-35,20210096,Interventional studies with investigational medicinal products,Amgen Inc.,"A Randomized, Multi-center, Double-blind, Placebo-controlled Phase 3 Study of Bemarituzumab plus Chemotherapy versus Placebo plus Chemotherapy in Subjects with Previously Untreated Advanced Gastric or Gastroesophageal Junction Cancer with FGFR2b Overexpression (FORTITUDE-101)",Not Commenced,,07/07/2022,10/03/2022,Bemarituzumab or Placebo Plus Chemotherapy in Gastric Cancers With Fibroblast Growth Factor Receptor 2b (FGFR2b) Overexpression,No,Untreated Advanced Gastric or Gastroesophageal Junction Cancer with FGFR2b Overexpression,,Yes,,"Adult , Elderly","Female , Male"
15842,2021-002071-19,19920,Interventional studies with investigational medicinal products,   Bayer AG                                                                                      ,"A 6-month multicenter, randomized, double-blind, placebo-controlled study to evaluate the efficacy, safety and PK/PD of an age-and body weight-adjusted oral finerenone regimen, in addition to an ACEI or ARB, for the treatment of children, 6 months to <18 years of age, with chronic kidney disease and proteinuria",Active,,26/04/2022,29/03/2022,"A study to learn how well finerenone works; how safe it is; how it moves into, through, and out of the body; and the effects it has on the body when taken by children with chronic kidney disease and proteinuria in addition to angiotensin-converting enzyme inhibitor or angiotensin receptor blocker",Yes,"Chronic kidney disease
Proteinuria",,Yes,,Under 18,"Female , Male"
15862,2021-005320-38,VX21-445-124,Interventional studies with investigational medicinal products,Vertex Pharmaceuticals Incorporated,"A Phase 3 Double-blind, Randomized, Placebo-controlled Study Evaluating the Efficacy and Safety of ELX/TEZ/IVA in Cystic Fibrosis Subjects 6 Years of Age and Older With a Non-F508del ELX/TEZ/IVA-responsive CFTR Mutation",Not Commenced,,17/03/2022,28/03/2022,Evaluation of Efficacy and Safety of ELX/TEZ/IVA in Subjects Without an F508del Mutation,No,Cystic Fibrosis,,Yes,,"Under 18 , Adult","Female , Male"
15882,2021-002491-39,SGNTUC-028,Interventional studies with investigational medicinal products,Seagen Inc.,"A randomized, double-blind, phase 3 study of tucatinib or placebo in combination with trastuzumab and pertuzumab as maintenance therapy for metastatic HER2+ breast cancer (HER2CLIMB-05)",Not Commenced,,04/05/2022,20/05/2022,A study of tucatinib versus placebo in combination with pertuzumab and trastuzumab for subjects with advanced or metastatic HER2+ breast cancer,No,Unresectable locally-advanced or metastatic HER2+ breast cancer,,Yes,,"Adult , Elderly","Female , Male"
15944,2020-005269-15,CO42865,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A PHASE III, RANDOMIZED, OPEN-LABEL STUDY OF PRALSETINIB VERSUS STANDARD OF CARE FOR TREATMENT OF RET-MUTATED MEDULLARY THYROID CANCER",Not Commenced,,01/08/2022,05/07/2022,A Study of Pralsetinib versus Standard of Care for Treatment of RET-Mutated Medullary Thyroid Cancer,Yes,RET-mutated Medullary Thyroid Cancer (MTC),,Yes,,"Under 18 , Adult , Elderly","Female , Male"
15962,2021-001924-16,FDY-5301-302,Interventional studies with investigational medicinal products,"Faraday Pharmaceuticals, Inc.","IOCYTE AMI-3: A Phase 3, Randomized, Double-Blind, 
Placebo-Controlled, Multicenter Study of Intravenous 
FDY-5301 in Patients with an Anterior ST-Elevation 
Myocardial Infarction",,,13/12/2022,03/05/2022,"A Phase 3, randomized, double-blind, placebo-controlled, multicenter study of IV FDY-5301 in patients with a myocardial infarction (STEMI) ",No,"Anterior ST-Elevation
Myocardial Infarction ",,Yes,,"Adult , Elderly","Female , Male"
16022,2020-003612-28,206785,Interventional studies with investigational medicinal products,GlaxoSmithKline Research & Development Limited,"A 52-week, randomised, double-blind, double-dummy, parallel group,multi-centre, non-inferiority study assessing exacerbation rate, 
additional measures  of asthma control and safety in adult and adolescent severe asthmatic participants with an eosinophilic phenotype treated with GSK3511294 compared with mepolizumab or benralizumab",,,23/01/2023,08/04/2022,Non-inferiority study of GSK3511294 compared with mepolizumab or benralizumab in participants with severe asthma with an eosinophilic phenotype,No,Severe asthma with  an eosinophilic phenotype ,,Yes,,"Under 18 , Adult , Elderly","Female , Male"
16062,2021-004588-29,TA799-101,Interventional studies with investigational medicinal products,VectivBio AG,"A randomized, single-blind trial to evaluate the safety and efficacy of apraglutide in subjects with Grade II to IV (MAGIC) steroid refractory gastrointestinal (GI) acute graft versus host disease on best available therapy",Not Commenced,,12/04/2022,18/03/2022,Efficacy and Safety of apraglutide in steroid refractory gastrointestinal acute graft versus host disease,No,Acute graft versus host disease (aGVHD),Yes,,,"Under 18 , Adult , Elderly","Female , Male"
16082,2020-003376-40,FAB122-CT-2001,Interventional studies with investigational medicinal products,Ferrer Internacional S.A,"A multicenter, randomized, double-blind, placebo-controlled study to investigate the efficacy and safety of FAB122 in patients with Amyotrophic Lateral Sclerosis",Not Commenced,,24/06/2022,03/06/2022,"A study to investigate the efficacy and safety of FAB122 in patients with Amyotrophic Lateral Sclerosis
",No,Amyotrophic Lateral Sclerosis,,Yes,,"Adult , Elderly","Female , Male"
16102,2021-003149-39,C4181008,Interventional studies with investigational medicinal products,PFIZER INC,"A PHASE 2 OPEN LABEL EXTENSION STUDY TO ASSESS THE LONG-TERM SAFETY, TOLERABILITY, PHARMACOKINETICS AND EFFICACY OF RECIFERCEPT IN CHILDREN WITH ACHONDROPLASIA",Not Commenced,,25/05/2022,29/04/2022,"Phase 2 study of long-term safety, tolerability, PK and efficacy of recifercept in achondroplasia",No,Achondroplasia,Yes,,,Under 18,"Female , Male"
16142,2020-002397-27,MK-2060-007,Interventional studies with investigational medicinal products,"Merck Sharp & Dohme Corp., a subsidiary of Merck & Co. Inc.","A Randomized Parallel-group, Placebo-controlled, Double-blind, Event-driven, Multi-center Phase 2 Clinical Outcome Trial of Prevention of Arteriovenous Graft Thrombosis and Safety of MK-2060 in Patients With End Stage Renal Disease Receiving Hemodialysis",Not Commenced,,07/06/2022,05/08/2022,A global trial to evaluate the efficacy and safety of MK-2060 in patients with end stage renal disease receiving hemodialysis,No,Prevention of arteriovenous graft thrombosis in patients with end stage renal disease receiving hemodialysis.,Yes,,,"Adult , Elderly","Female , Male"
16182,2021-000398-10,EFC16133,Interventional studies with investigational medicinal products,Sanofi-aventis recherche & développement,"A randomized, multicenter, double-blind, Phase 3 study of amcenestrant (SAR439859) versus tamoxifen for the treatment of patients with hormone receptor-positive, human epidermal growth factor 2-negative or positive, stage IIB-III breast cancer who have discontinued adjuvant aromatase inhibitor therapy due to treatment-related toxicity",Not Commenced,,18/11/2022,05/08/2022,"Study of amcenestrant (SAR439859) versus tamoxifen for patients with hormone receptor-positive (HR+) early breast cancer, who have discontinued adjuvant aromatase inhibitor therapy due to treatment-related toxicity (AMEERA-6)",No,Breast cancer,,Yes,,"Adult , Elderly","Female , Male"
16222,2020-001263-85,SAV006-05,Interventional studies with investigational medicinal products,Savara ApS,"A randomized, double-blind, placebo-controlled clinical trial of once-daily inhaled molgramostim nebulizer solution in adult subjects with autoimmune pulmonary alveolar proteinosis (aPAP).",Not Commenced,,10/11/2022,29/04/2022,A clinical trial where patients with the lung disease autoimmune pulmonary alveolar proteinosis will be given the drug molgramostim nebulizer solution by inhalation.,No,Autoimmune Pulmonary Alveolar Proteinosis (aPAP),,Yes,,"Adult , Elderly","Female , Male"
